target_id	length	eff_length	est_counts	tpm
lcl|CP000514.1_cds_ABM17109.1_1	1464	957.815	958	207.63
lcl|CP000514.1_cds_ABM17110.1_2	1104	596.251	498	173.383
lcl|CP000514.1_cds_ABM17111.1_3	1272	761.888	586	159.666
lcl|CP000514.1_cds_ABM17112.1_4	1122	611.59	496	168.356
lcl|CP000514.1_cds_ABM17113.1_5	2415	1905.09	1465	159.636
lcl|CP000514.1_cds_ABM17114.1_6	768	271.528	336	256.88
lcl|CP000514.1_cds_ABM17115.1_7	1278	767.6	607	164.157
lcl|CP000514.1_cds_ABM17116.1_8	1773	1272.65	998	162.79
lcl|CP000514.1_cds_ABM17117.1_9	1794	1296.28	1079	172.794
lcl|CP000514.1_cds_ABM17118.1_10	2253	1743.69	1196	142.386
lcl|CP000514.1_cds_ABM17119.1_11	3726	3234.86	2187	140.346
lcl|CP000514.1_cds_ABM17120.1_12	3594	3100.77	2473	165.562
lcl|CP000514.1_cds_ABM17121.1_13	468	62.0091	388	1298.92
lcl|CP000514.1_cds_ABM17122.1_14	1701	1194.17	1089	189.307
lcl|CP000514.1_cds_ABM17123.1_15	2253	1751.1	1300	154.113
lcl|CP000514.1_cds_ABM17124.1_16	393	38.2626	154	835.513
lcl|CP000514.1_cds_ABM17125.1_17	999	494.303	437	183.525
lcl|CP000514.1_cds_ABM17126.1_18	2730	2230.68	1487	138.382
lcl|CP000514.1_cds_ABM17127.1_19	1122	606.805	478	163.525
lcl|CP000514.1_cds_ABM17128.1_20	372	34.9405	76	451.534
lcl|CP000514.1_cds_ABM17129.1_21	525	89.2415	247	574.562
lcl|CP000514.1_cds_ABM17130.1_22	252	42.1429	14	68.9621
lcl|CP000514.1_cds_ABM17131.1_23	1335	819.487	664	168.203
lcl|CP000514.1_cds_ABM17132.1_24	714	224.408	499	461.603
lcl|CP000514.1_cds_ABM17133.1_25	741	247.226	316.175	265.485
lcl|CP000514.1_cds_ABM17134.1_26	1539	1032.91	556.572	111.858
lcl|CP000514.1_cds_ABM17135.1_27	1440	939.012	718	158.73
lcl|CP000514.1_cds_ABM17136.1_28	2256	1739.94	1062	126.706
lcl|CP000514.1_cds_ABM17137.1_29	816	315.736	380	249.842
lcl|CP000514.1_cds_ABM17138.1_30	1308	803.664	705	182.105
lcl|CP000514.1_cds_ABM17139.1_31	1620	1110.9	1058	197.704
lcl|CP000514.1_cds_ABM17140.1_32	1641	1128.42	948	174.399
lcl|CP000514.1_cds_ABM17141.1_33	288	38.4	168	908.207
