target_id	length	eff_length	est_counts	tpm	sid	run
lcl|CP000514.1_cds_ABM17109.1_1	1464	1314.95	1920.0	220.962	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17110.1_2	1104	945.823	1488.0	238.077	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17111.1_3	1272	1124.12	1662.0	223.74	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17112.1_4	1122	970.662	1426.0	222.319	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17113.1_5	2415	2253.61	3268.0	219.446	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17114.1_6	768	613.116	1049.0	258.915	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17115.1_7	1278	1116.47	1643.0	222.698	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17116.1_8	1773	1614.48	2290.0	214.648	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17117.1_9	1794	1642.15	2433.0	224.21	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17118.1_10	2253	2079.93	2940.0	213.906	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17119.1_11	3726	3552.93	4864.0	207.172	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17120.1_12	3594	3421.38	4988.0	220.623	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17121.1_13	468	310.687	729.0	355.082	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17122.1_14	1701	1535.11	2492.0	245.659	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17123.1_15	2253	2087.56	2983.0	216.242	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17124.1_16	393	240.418	717.0	451.312	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17125.1_17	999	846.917	1338.0	239.078	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17126.1_18	2730	2572.4	3504.0	206.134	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17127.1_19	1122	952.431	1376.0	218.63	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17128.1_20	372	217.956	465.0	322.856	Sample_77304	Run_1768
